data,in_date,type,country,department,municipality
310,2020-09-21,Confirmados,Bolivia,All,All
467,2020-09-22,Confirmados,Bolivia,All,All
537,2020-09-23,Confirmados,Bolivia,All,All
628,2020-09-24,Confirmados,Bolivia,All,All
604,2020-09-25,Confirmados,Bolivia,All,All
370,2020-09-26,Confirmados,Bolivia,All,All
309,2020-09-27,Confirmados,Bolivia,All,All
322,2020-09-28,Confirmados,Bolivia,All,All
418,2020-09-29,Confirmados,Bolivia,All,All
670,2020-09-30,Confirmados,Bolivia,All,All
405,2020-10-01,Confirmados,Bolivia,All,All
503,2020-10-02,Confirmados,Bolivia,All,All
350,2020-10-03,Confirmados,Bolivia,All,All
299,2020-10-04,Confirmados,Bolivia,All,All
239,2020-10-05,Confirmados,Bolivia,All,All
361,2020-10-06,Confirmados,Bolivia,All,All
238,2020-10-07,Confirmados,Bolivia,All,All
263,2020-10-08,Confirmados,Bolivia,All,All
257,2020-10-09,Confirmados,Bolivia,All,All
237,2020-10-10,Confirmados,Bolivia,All,All
111,2020-10-11,Confirmados,Bolivia,All,All
121,2020-10-12,Confirmados,Bolivia,All,All
227,2020-10-13,Confirmados,Bolivia,All,All
219,2020-10-14,Confirmados,Bolivia,All,All
178,2020-10-15,Confirmados,Bolivia,All,All
243,2020-10-16,Confirmados,Bolivia,All,All
148,2020-10-17,Confirmados,Bolivia,All,All
61,2020-10-18,Confirmados,Bolivia,All,All
119,2020-10-19,Confirmados,Bolivia,All,All
147,2020-10-20,Confirmados,Bolivia,All,All
191,2020-10-21,Confirmados,Bolivia,All,All
217,2020-10-22,Confirmados,Bolivia,All,All
167,2020-10-23,Confirmados,Bolivia,All,All
167,2020-10-24,Confirmados,Bolivia,All,All
74,2020-10-25,Confirmados,Bolivia,All,All
99,2020-10-26,Confirmados,Bolivia,All,All
172,2020-10-27,Confirmados,Bolivia,All,All
197,2020-10-28,Confirmados,Bolivia,All,All
163,2020-10-29,Confirmados,Bolivia,All,All
147,2020-10-30,Confirmados,Bolivia,All,All
126,2020-10-31,Confirmados,Bolivia,All,All
76,2020-11-01,Confirmados,Bolivia,All,All
34,2020-11-02,Confirmados,Bolivia,All,All
69,2020-11-03,Confirmados,Bolivia,All,All
126,2020-11-04,Confirmados,Bolivia,All,All
139,2020-11-05,Confirmados,Bolivia,All,All
142,2020-11-06,Confirmados,Bolivia,All,All
84,2020-11-07,Confirmados,Bolivia,All,All
48,2020-11-08,Confirmados,Bolivia,All,All
86,2020-11-09,Confirmados,Bolivia,All,All
103,2020-11-10,Confirmados,Bolivia,All,All
112,2020-11-11,Confirmados,Bolivia,All,All
113,2020-11-12,Confirmados,Bolivia,All,All
180,2020-11-13,Confirmados,Bolivia,All,All
112,2020-11-14,Confirmados,Bolivia,All,All
65,2020-11-15,Confirmados,Bolivia,All,All
125,2020-11-16,Confirmados,Bolivia,All,All
102,2020-11-17,Confirmados,Bolivia,All,All
96,2020-11-18,Confirmados,Bolivia,All,All
187,2020-11-19,Confirmados,Bolivia,All,All
98,2020-11-20,Confirmados,Bolivia,All,All
68,2020-11-21,Confirmados,Bolivia,All,All
56,2020-11-22,Confirmados,Bolivia,All,All
56,2020-11-23,Confirmados,Bolivia,All,All
113,2020-11-24,Confirmados,Bolivia,All,All
129,2020-11-25,Confirmados,Bolivia,All,All
114,2020-11-26,Confirmados,Bolivia,All,All
104,2020-11-27,Confirmados,Bolivia,All,All
98,2020-11-28,Confirmados,Bolivia,All,All
30,2020-11-29,Confirmados,Bolivia,All,All
86,2020-11-30,Confirmados,Bolivia,All,All
102,2020-12-01,Confirmados,Bolivia,All,All
184,2020-12-02,Confirmados,Bolivia,All,All
192,2020-12-03,Confirmados,Bolivia,All,All
139,2020-12-04,Confirmados,Bolivia,All,All
167,2020-12-05,Confirmados,Bolivia,All,All
68,2020-12-06,Confirmados,Bolivia,All,All
97,2020-12-07,Confirmados,Bolivia,All,All
189,2020-12-08,Confirmados,Bolivia,All,All
214,2020-12-09,Confirmados,Bolivia,All,All
325,2020-12-10,Confirmados,Bolivia,All,All
312,2020-12-11,Confirmados,Bolivia,All,All
333,2020-12-12,Confirmados,Bolivia,All,All
120,2020-12-13,Confirmados,Bolivia,All,All
195,2020-12-14,Confirmados,Bolivia,All,All
371,2020-12-15,Confirmados,Bolivia,All,All
498,2020-12-16,Confirmados,Bolivia,All,All
451,2020-12-17,Confirmados,Bolivia,All,All
484,2020-12-18,Confirmados,Bolivia,All,All
621,2020-12-19,Confirmados,Bolivia,All,All
253,2020-12-20,Confirmados,Bolivia,All,All
362,2020-12-21,Confirmados,Bolivia,All,All
674,2020-12-22,Confirmados,Bolivia,All,All
1005,2020-12-23,Confirmados,Bolivia,All,All
1057,2020-12-24,Confirmados,Bolivia,All,All
469,2020-12-25,Confirmados,Bolivia,All,All
759,2020-12-26,Confirmados,Bolivia,All,All
494,2020-12-27,Confirmados,Bolivia,All,All
751,2020-12-28,Confirmados,Bolivia,All,All
1293,2020-12-29,Confirmados,Bolivia,All,All
1485,2020-12-30,Confirmados,Bolivia,All,All
1752,2020-12-31,Confirmados,Bolivia,All,All
861,2021-01-01,Confirmados,Bolivia,All,All
1070,2021-01-02,Confirmados,Bolivia,All,All
606,2021-01-03,Confirmados,Bolivia,All,All
1010,2021-01-04,Confirmados,Bolivia,All,All
1597,2021-01-05,Confirmados,Bolivia,All,All
1713,2021-01-06,Confirmados,Bolivia,All,All
1910,2021-01-07,Confirmados,Bolivia,All,All
2263,2021-01-08,Confirmados,Bolivia,All,All
1644,2021-01-09,Confirmados,Bolivia,All,All
1098,2021-01-10,Confirmados,Bolivia,All,All
1392,2021-01-11,Confirmados,Bolivia,All,All
1473,2021-01-12,Confirmados,Bolivia,All,All
2057,2021-01-13,Confirmados,Bolivia,All,All
2198,2021-01-14,Confirmados,Bolivia,All,All
2573,2021-01-15,Confirmados,Bolivia,All,All
2091,2021-01-16,Confirmados,Bolivia,All,All
